Start of experiment,20220729_1024,,
Source file name: shape_dotsB_C.txt,,,
Screen resolution h: 1920,,,
72,131;Trial summary;29;1,634;l;l;1;;;0;0,06376814419506241
72,133;Screen change,,
72,639;Trial display,,
74,63;Left chosen,,
74,664;Trial summary;30;2,024;l;r;0;;;1;0,05797104017732946
74,666;Screen change,,
75,184;Trial display,,
77,207;Left chosen,,
77,517;Trial summary;31;2,334;l;l;1;;;1;0,06376814419506241
Field_Scale21 value for positive stimuli: 1.0,,,
Field_Scale21 starting value for negative stimuli: 0.62,,,
Trial number;PARAM;THRESHOLD;POSITIVE;,,,
1;0,62;0,9453125905078741;1,0;
2;0,6545454545454545;0,9453125905078741;1,0;
3;0,6859504132231405;0,9453125905078741;1,0;
4;0,7145003756574005;0,9453125905078741;1,0;
5;0,7404548869612733;0,9453125905078741;1,0;
6;0,7640498972375211;0,9453125905078741;1,0;
7;0,7854999065795647;0,9453125905078741;1,0;
8;0,8049999150723316;0,9453125905078741;1,0;
9;0,8227271955203015;0,9453125905078741;1,0;
10;0,8388429050184558;0,9453125905078741;1,0;
11;0,8534935500167781;0,9453125905078741;1,0;
12;0,8668123181970709;0,9453125905078741;1,0;
13;0,8789202892700645;0,9453125905078741;1,0;
14;0,8899275357000587;0,9453125905078741;1,0;
15;0,8999341233636897;0,9453125905078741;1,0;
16;0,9090310212397179;0,9453125905078741;1,0;
17;0,9173009283997435;0,9453125905078741;1,0;
18;0,9248190258179487;0,9453125905078741;1,0;
19;0,9173009283997435;0,9453125905078741;1,0;
20;0,9248190258179487;0,9453125905078741;1,0;
21;0,9316536598344989;0,9453125905078741;1,0;
22;0,937866963485908;0,9453125905078741;1,0;
23;0,9435154213508254;0,9453125905078741;1,0;
24;0,948650383046205;0,9453125905078741;1,0;
25;0,9533185300420045;0,9453125905078741;1,0;
26;0,957562300038186;0,9453125905078741;1,0;
27;0,9614202727619873;0,9453125905078741;1,0;
28;0,9649275206927157;0,9453125905078741;1,0;
29;0,9681159279024688;0,9453125905078741;1,0;
30;0,9710144799113353;0,9453125905078741;1,0;
31;0,9681159279024688;0,9453125905078741;1,0;
77,543;Screen change,,
